book a spot for 3 in mt	O O O O B-party_size_number O B-state
book a highly rated place in in in seven years  at a pub	O O B-sort I-sort O O B-state B-timeRange I-timeRange I-timeRange O O B-restaurant_type
book a table for ten for breakfast in minnesota	O O O O B-party_size_number O B-timeRange O B-state
book a restaurant for three on feb  18	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
please make me reservations somewhere for eight people in foley  nv	O O O O O O B-party_size_number O O B-city B-state
i d like to eat at a restaurant around china with a party of 7 anywhere that serves ouzeri	O O O O O O O B-restaurant_type B-spatial_relation B-country O O O O B-party_size_number O O O B-cuisine
i d like a table for midday at the unseen bean	O O O O O O B-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name
i want a table for me and my kids in turkey at a neighboring restaurant	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country O O B-spatial_relation B-restaurant_type
i d like to reserve a table at a pub that serves andouillettes within the same area in san marino	O O O O O O O O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country
book the space aliens grill & bar in hord wy for feb  the twenty-seventh	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state O B-timeRange I-timeRange I-timeRange
book a table this evening in saint vincent and the grenadines at a gastropub	O O O O B-timeRange O B-country I-country I-country I-country I-country O O B-restaurant_type
food truck in panama for five	B-restaurant_type I-restaurant_type O B-country O B-party_size_number
book a table for chasity ruiz and mary at the fat duck in puerto rico	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country
i need a table for 1 minute from now at any pub for five around in that also serves fisn n chips	O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-party_size_number B-spatial_relation B-state O O O B-served_dish I-served_dish I-served_dish
book a spot at the food truck in ma	O O O O O B-restaurant_type I-restaurant_type O B-state
21 weeks from now elinor  crystal turner and nita want to eat german food at a bar in distant california	B-timeRange I-timeRange I-timeRange I-timeRange B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O O B-restaurant_type O B-spatial_relation B-state
book a spot for 7 at an outdoor food court in denmark	O O O O B-party_size_number O O B-facility B-restaurant_type I-restaurant_type O B-country
i need a reservation for february 27  2020 at a bar that serves paté	O O O O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O O B-served_dish
i need a reservation for ten at a tavern in west virginia	O O O O O B-party_size_number O O B-restaurant_type O B-state I-state
i want a table for five at a restaurant with latin food in arkansas for 1 hour from now	O O O O O B-party_size_number O O B-restaurant_type O B-cuisine O O B-state O B-timeRange I-timeRange I-timeRange I-timeRange
book a mediterranean restaurant for my sister and i	O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book me a reservation for eight for the top-rated bakery eleven hours from now in mango	O O O O O B-party_size_number O O B-sort B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O B-city
table for 8 at a popular food court	O O B-party_size_number O O B-sort B-restaurant_type I-restaurant_type
find me a table for 8 people at a nearby al restaurant one minute from now	O O O O O B-party_size_number O O O B-spatial_relation B-state B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book me a restaurant please	O O O B-restaurant_type O
i would like to book a restaurant for two in 42 weeks from now in wagram	O O O O O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-city
book a restaurant distant from downtown	O O B-restaurant_type B-spatial_relation O B-poi
book a table for nine people in svalbard and jan mayen	O O O O B-party_size_number O O B-country I-country I-country I-country
book a reservation for clinton street baking company & restaurant distant from downtown	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-poi
find a restaurant in fm that servec quiche	O O B-restaurant_type O B-state O O B-served_dish
i want to book a pastelaria cafe in alabama for me and my great grandfather	O O O O O B-cuisine B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
make a reservation in a popular sicilian bar place nearby  for me only  tomorrow	O O O O O B-sort B-cuisine B-restaurant_type O B-spatial_relation O O O B-timeRange
i need a table for 9	O O O O O B-party_size_number
i need a table in ottoville on feb  15th  2029 at gus stevens seafood restaurant & buccaneer lounge	O O O O O B-city O B-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
i need a table for five at childs restaurants in brunei	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-country
i would like to make a reservation for 2 for brunch	O O O O O O O O B-party_size_number O B-timeRange
need a table  for party of five for december 26  2040 in the state of mt	O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange O O O O B-state
book me a restaurant for nine in statham	O O O B-restaurant_type O B-party_size_number O B-city
i d like a table for ten in 2 minutes at french horn  sonning eye	O O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
i want to eat close to bowlegs seven years from now	O O O O B-spatial_relation O B-city B-timeRange I-timeRange I-timeRange I-timeRange
book a popular restaurant of thai cuisine	O O B-sort B-restaurant_type O B-cuisine O
i d like to eat at the best restaurant	O O O O O O O B-sort B-restaurant_type
i want to book a restaurant for four around zapata	O O O O O B-restaurant_type O B-party_size_number B-spatial_relation B-city
i want to book a bar in bonaparte palau	O O O O O B-restaurant_type O B-city B-state
can you make reservations at a tea house that serves fettucine	O O O O O O B-restaurant_type I-restaurant_type O O B-served_dish
i want to go to 88th st-boyd av or close by and book seats for 10	O O O O O B-poi I-poi I-poi O B-spatial_relation O O O O O B-party_size_number
i want to book a cafe for 3 in fargo	O O O O O B-restaurant_type O B-party_size_number O B-city
i d like to eat at a popular brasserie in chile with a party of 5	O O O O O O O B-sort B-restaurant_type O B-country O O O O B-party_size_number
book a table at grecian coffee house for 7 on apr  7th  2024	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-timeRange I-timeRange I-timeRange
i m looking for a churrascaria place with wifi that can serve a party of five	O O O O O B-restaurant_type O O B-facility O O O O O O B-party_size_number
book the city tavern in holiday ks	O O B-restaurant_name I-restaurant_name O B-city B-state
book at table at forest av restaurant close-by for 2 1 second from now	O O O O B-poi I-poi B-restaurant_type B-spatial_relation O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange
book me a table for 5 at a best rated restaurant in italy	O O O O O B-party_size_number O O B-sort I-sort B-restaurant_type O B-country
please make reservations in yeager for seven am at a highly rated indian brasserie	O O O O B-city O B-timeRange I-timeRange O O B-sort I-sort B-cuisine B-restaurant_type
book a spot at savoy hotel and grill that is neighboring wisconsin	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O O B-spatial_relation B-state
please book a room in spaghetti warehouse for catalina  delores and brandie mendoza at 12 am	O O O O O B-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
i need to book a top-rated steakhouse this autumn  for 1 around azerbaijan	O O O O O B-sort B-restaurant_type B-timeRange I-timeRange O B-party_size_number B-spatial_relation B-country
i would like to book the best food court with persian food within the same area as ok for my ex husband and i	O O O O O O B-sort B-restaurant_type I-restaurant_type O B-cuisine O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a restaurant close by my daughters s work location with burrito three years from now	O O B-restaurant_type B-spatial_relation I-spatial_relation B-poi I-poi I-poi I-poi I-poi O B-served_dish B-timeRange I-timeRange I-timeRange I-timeRange
i would like to book a highly rated brasserie with souvlaki neighboring la next week	O O O O O O B-sort I-sort B-restaurant_type O B-cuisine B-spatial_relation B-state B-timeRange I-timeRange
i need to take three people to eat	O O O O B-party_size_number O O O
book a table in the united states for 10 at the berghoff	O O O O O B-country I-country O B-party_size_number O B-restaurant_name I-restaurant_name
i d like to book a brasserie in virginia city  ga	O O O O O O B-restaurant_type O B-city I-city B-state
book a spot at a restaurant within walking distance of palau	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-state
book a restaurant in donnelly	O O B-restaurant_type O B-city
i d like to eat at an internet restaurant with a party of four	O O O O O O O B-facility B-restaurant_type O O O O B-party_size_number
